#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
335,01.72.14.034.597,480725.073,4625214.065,Near by Spanish House,"Davit Aghmashenebeli alley, N 126",Zurab Gvritishvili,Other,Yes,Marked,,80,,,Free,within 400m,Bad,beyond 800m,-,(Vacant)
336,01.72.14.367.001,480745.9889,4626015.081,Jaokeni,"Davit Aghmashenebeli alley,","""Company Jaoken"" LLC",Retail,Yes,Unmarked,,,1085,41,Free,within 400m,Good,beyond 800m,-,
337,01.14.03.032.001,478685.9766,4619362.102,Business Center Delisi,Vazha-Pshavela Avenue N 45,"Joint Stock Company ""Business Center Delis""",Other,Yes,Marked,,,,74,Paid,within 400m,Good,within 800m,Good,Entry is 4 GEL
338,01.10.15.007.081,479772.3669,4619615.866,Republican Hospital,"Vazha-Pshavela Avenue, N 29 , (area 07/081)","JSC ""Georgian Medical Holding""
Apostolic Autocephalous Orthodox Church of Georgia
State
LLC ""Asset Management and Development Company""",Hospital & Medical,Yes,Unmarked,,,3900,150,Paid,within 400m,Good,within 800m,Good,Entrance fee is 3 GEL
339,01.10.15.007.055,479905.3411,4619704.451,Aversi Clinic,"Vazha-Pshavela Avenue, N 27b","LLC ""Avers Clinic""",Hospital & Medical,Yes,Marked,,,,60,Paid,within 400m,Good,within 800m,Good,"Half an hour is free, one hour is 2 GEL"
340,01.10.15.007.123,479895.1555,4619755.369,Adjacent to Aversi Clinic,"Vazha-Pshavela Avenue, N 29","""Aversi-Pharma"" LLC",Hospital & Medical,Yes,Unmarked,2900,111,,,Free,within 400m,Good,within 800m,Good,Only for employees 
341,01.10.15.007.166,479539.6299,4619501.383,Tbilisi State Medical University,"Asatiani st, N 7, (area 07/103)","""Tbilisi State Medical University""",Education,Yes,Unmarked,,,2860,110,Free,within 400m,Good,within 800m,Good,
342,01.10.16.001.021,478925.2721,4619146.28,TBC Bank and TBC Insurance,"A. Kazbegi avenue, N 24b",Common property of apartment owners,Mixed-use,No,Unknown,N/A,N/A,N/A,N/A,Free,within 400m,Good,within 800m,Good,Underground parking
343,01.10.16.001.019,479001.6278,4619156.14,Axis Trade Center,"A. Kazbegi avenue, N 24g","IMA ""Kazbegi 24""",Retail,Yes,Unmarked,,,620,23,Paid,within 400m,Good,within 800m,Good,Entry is 3 GEL
344,01.10.16.003.008,479031.964,4618986.644,"Internally Displaced Persons, Ecomigrants and Livelihoods Provision Agency","Tamarashvili st., N 15a","LLC ""Asset Management and Development Company""",Government/Police,Yes,Unmarked,2080,80,,,Free,within 400m,Bad,within 800m,Bad,
345,01.10.15.009.009,479926.9597,4619366.399,ProCredit Bank,"A. Kazbegi avenue, N 15.","Joint Stock Company ""Procredit Bank""",Mixed-use,No,Unknown,2380,68,,,Free,within 400m,Good,within 800m,Average,The area of ​​the parking lot is searched on the website of the municipality
346,01.10.15.022.046 01.10.15.022.064  01.10.15.022.063 01.10.15.022.056,479850,4619200,Aversi Clinic Laboratory,Aleksandre Kazbegi Ave. N16,"""Aversi-Pharma"" LLC",Hospital & Medical,Yes,Marked,,,,260,Paid,within 400m,Good,within 800m,Good,"Half an hour is free. From half an hour to two hours - 2 GEL, each next hour - 1 GEL."
347,A 084,480682.2967,4619587.952,Zonal parking lot A084,"Vazha Pshavela Avenue, N 1",Tbilisi Municipality,Other,Yes,Marked,,,,12,Paid,within 400m,Good,within 800m,Good,Zonal parking lot A084
348,A 085,480671.8797,4619575.817,Zonal parking lot A085,"Vazha Pshavela Avenue, N 1",Tbilisi Municipality,Other,Yes,Marked,,,,11,Paid,within 400m,Good,within 800m,Good,Zonal parking lot A085
349,A 089,480678.5208,4619551.264,Zonal parking lot A089,"Vazha Pshavela Avenue, N 2",Tbilisi Municipality,Other,Yes,Marked,,,,17,Paid,within 400m,Good,within 800m,Good,Zonal parking lot A089
350,A 088,480677.4431,4619540.762,Zonal parking lot A088,"Vazha Pshavela Avenue, N 2",Tbilisi Municipality,Other,Yes,Marked,,,,21,Paid,within 400m,Good,within 800m,Good,Zonal parking lot A088
351,01.10.14.028.141 01.10.14.028.182 01.10.14.028.181  01.10.14.028.135,480690,4618980,Carrefour,"Sulkhan Tsintsadze, N 37","""Velaggio Development"" LLC Davit Petriashvili, Giorgi Petriashvili, Grigol Ghongadze, Teimuraz Ghongadze",Retail,Yes,Marked,,,,45,Paid,within 400m,Good,beyond 800m,-,"Parking for 15 minutes is free, each next hour is 3 GEL"
352,01.10.13.032.005,481535.2162,4618554.087,Near by Holiday Inn Tbilisi,"
May 26 square,  nearby hotel ""Achara"" ","LLC ""GM Development""",Other,Yes,Unmarked,,,3270,125,Paid,within 400m,Good,within 800m,Good,One hour 3 GEL
353,01.10.13.033.109,481652.3797,4618667.53,Palace of Sports,"May 26 square, N 1, (area 33/109)","""Sports Palace"" LLC",Entertainment & Recreation,Yes,Marked,,,,224,Paid,within 400m,Good,within 800m,Good,"Parking for 10 minutes is free, one hour - 3 GEL, two hours - 3,5 GEL, three hours 4 GEL, six hours - 6 GEL, twelve hours - 10 GEL, 24 hours - 15 GEL"
354,01.10.13.023.181,481531.8805,4619117.241,Administrative building of Technical University of Georgia ,"Kostava, N 77","State
Inga Talabadze
Technical University of Georgia
LLC ""Asset Management and Development Company""",Education,Yes,Marked,,160,,22,Free,within 400m,Good,within 800m,Good,"If you are not in the data base, you cannot enter. 22 cars free of charge from the entrance of the third building"
355,01.10.13.023.198,481628.5106,4619048.059,The University of Georgia,"Kostava, N 77a","""University of Georgia"" LLC",Education,Yes,Marked,,,,30,Free,within 400m,Good,within 800m,Good,
356,01.14.14.011.080,481011.5746,4617612.032,TBC Bank,"Abashidze st., N 2",Joint Stock Company TBC Bank,Service,No,Marked,,22,,,Free,within 400m,Good,beyond 800m,-,"It also has underground parking, which we were unable to access (officialy  indicates Abashidze Street. In reality, the cadastral map shows it on Ateni Street)."
357,01.14.14.003.149,479826.0124,4617793.577,Carrefour,"Ilia Chavchavadze Ave., N 37l","""Arch Tower"" LLC
""Iber Company Irao"" LLC",Retail,Yes,Marked,,,,150,Paid,within 400m,Good,beyond 800m,-,"For purchase of 25 GEL parking is free, Otherwise one hour is 3 GEL"
358,01.14.14.003.176,479755.5477,4617816.102,Agro Hub,"Ilia Chavchavadze Ave., N 37m","Apartment owners
Joint Stock Company ""Axis Towers""",Mixed-use,Yes,Marked,,,,100,Paid,within 400m,Good,beyond 800m,-,"15 minutes is for free, for purchase of 25 GEL parking is free for 90 minutes, then every next hour is 3 GEL. (00:00-09:00) One hour is 1 GEL"
359,01.14.14.002.064,479456.0649,4617869.823,Kartu Bank,"Ilia Chavchavadze Ave., N 39d","""Kartu Group"" LLC",Service,Yes,Marked,,54,,,Free,within 400m,Good,beyond 800m,-,Only for employees 
360,01.10.17.002.022,480803.697,4618867.187,"Near by ""Axis Palace 2"" (carrefour)","Sulkhan Cincadze , N 12","I.M.A. ""Axis Palace""",Mixed-use,Yes,Marked,,,,40,Paid,within 400m,Good,beyond 800m,-,"10 minutes is for free. For purchase of 20 GEL at Carrefour parking is free for one hour, each next hour is 3 GEL, Otherwise, (9:00- 22:00) one hour is 3 GEL. Parking for all night is 5 GEL"
361,01.14.07.010.033,479118.6325,4617875.891,Ilia State University,"Exit, G. Tsereteli , N 1","LSI ""Ilia State University""
LLC ""Asset Management and Development Company""",Education,Yes,Marked,,,,100,Free,within 400m,Good,beyond 800m,-,
362,01.10.10.006.046,480875.1795,4622714.422,Police,"Marshal Gelovani Avenue, N 43",State,Government/Police,Yes,Marked,,,,160,Free,within 400m,Bad,beyond 800m,-,
363,01.18.01.002.223,483641.7313,4614466.6,Near by Hotel and Golf Club Tabori,The settlement of Okrokana,"""Tabori Resorts"" LLC",Entertainment & Recreation,Yes,Marked,,,,16,Free,beyond 400m,-,beyond 800m,-,
364,01.18.01.002.349,483047.7441,4614268.216,Tabor Resorts,"Territory nearby the Botanical Garden;
City Tbilisi, settlement Okrokana.",Tabori Resorts LLC,Commercial,No,Unmarked,,,1300,50,Free,beyond 400m,-,beyond 800m,-,territory is under construction
365,01.15.06.001.057,482025.8277,4615869.927,Mtatsminda Park,"Bombora St, N 4",Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,50,Paid,beyond 400m,-,beyond 800m,-,"From one to two hours, 4 GEL, from two to three hours, 6 GEL, the maximum price is 7 GEL. The price doubles for buses."
366,01.15.08.004.012,481330.2847,4614629.516,Taglaura,"Tbilisi-Kojori Highway, N 10","LLC ""V. D. Capital""",Entertainment & Recreation,Yes,Unmarked,,,230,8,Free,within 400m,Bad,beyond 800m,-,
367,01.15.01.003.043,482505.2101,4616075.456,Near by Monastery of Father David ,"Okrokana, (area 03/012)","JSC ""Apostolic Autocephalous Orthodox Church of Georgia""",Other,Yes,Unmarked,,,530,20,Free,within 400m,Bad,beyond 800m,-,
368,01.15.07.002.036,480773.2193,4615196.589,Near by Tech Park,"
Mtatsminda Park, (area 02/022)",State,Entertainment & Recreation,Yes,Marked,,,,20,Free,within 400m,Average,beyond 800m,-,
369,01.15.07.002.038,480803.763,4615170.928,Tech Park,"
Innovation Street, N 7",State,Entertainment & Recreation,Yes,Marked,,16,,,Free,within 400m,Average,beyond 800m,-,
370,01.15.07.017.162,481062.846,4614552.351,Villa Fresco,"Tbilisi-Kojori Highway, N 3","LLC ""SSG-ES Group""",Hotel & Casino,Yes,Marked,,18,,,Free,within 400m,Average,beyond 800m,-,Only for customers
371,01.81.02.280.019,480475.4093,4614186.413,Restaurant Kolkheti,"City Tbilisi, Tabakhmela.","LLC ""Initiator""",Entertainment & Recreation,Yes,Unmarked,,,830,31,Free,within 400m,Average,beyond 800m,-,
372,81.01.06.512,,,"Nikora, Aversi","Urban-type settlement Kojori, Junker Street, N 31","LLC ""Solo Construction""",Retail,Yes,Unmarked,,,170,6,Free,within 400m,Average,beyond 800m,-,
373,01.81.02.232.013,476520.5278,4612802.516,biol,"Urban-type settlement Kojori, Bioli St. N1",Medgroup Georgia Ltd,Hospital & Medical,Yes,Unmarked,,,1300,50,Free,beyond 400m,-,beyond 800m,-,only for employees and guests
374,01.81.02.264.001,477604.8932,4611323.655,Police,"Village Tabakhmela, Tbilisi-Kojori Highway, N 136a",State,Government/Police,Yes,Marked,,17,,,Free,within 400m,Average,beyond 800m,-,
375,01.81.02.119.045,479255,479265,Eye Diagnostic Center,"Village Tabakhmela, Tbilisi-Kojori Highway, N 66",Ushangi Pukhashvili,Hospital & Medical,Yes,Unmarked,,,200,7,Free,within 400m,Average,beyond 800m,-,
376,01.81.02.367.027,479390,4611630,Ori Nabiji,"Village Tabakhmela, Tbilisi-Kojori Highway, N 41",Zurab Tsertsvadze,Retail,Yes,Unmarked,,,104,4,Free,within 400m,Average,beyond 800m,-,
377,01.81.02.370.025,479920,4611690,Libre,"Village Tabakhmela, Tbilisi-Kojori Highway, N 22g",Alexi Boshishvili,Retail,Yes,Unmarked,,,86,4,Free,within 400m,Average,beyond 800m,-,
378,01.81.02.108.036,480200,4611800,Happy Town,"Village Tabakhmela, Tbilisi-Kojori Highway, N 1",Natela Yashaghashvili,Entertainment & Recreation,Yes,Unmarked,,,104,4,Free,within 400m,Average,beyond 800m,-,
379,01.81.02.143.003,480221.0952,4612433.125,Universami,"Village Shindisi, Tbilisi-Kojori Highway, N 14b",Roland Shindelishvili,Retail,Yes,Unmarked,,,130,5,Free,within 400m,Average,beyond 800m,-,
380,01.81.02.372.055,480140,4612740,Nikora,"Village Shindisi, Tbilisi-Kojori Highway, N 13b",Giorgi Kacheishvili,Retail,Yes,Unmarked,,,340,13,Free,within 400m,Average,beyond 800m,-,
381,81.02.38.267,480510,4613670,Chateau de Vere,Village Tabakhmela.,"Joint-stock company ""Chateau de Vere""",Hotel & Casino,Yes,Marked,,,,61,Free,within 400m,Average,beyond 800m,-,
382,01.14.09.012.001,475200.5184,4617867.396,Restaurant Kaklebi,Bagebi Forest District,Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,10,Free,within 400m,Bad,beyond 800m,-,
383,01.20.01.022.017,475242.3403,4616389.148,Brunch by Gastronome,"Urban-type settlement Tskneti, Cotne Dadianis St., N 21","JSC ""TBS Leasing""",Entertainment & Recreation,Yes,Marked,,,,5,Free,within 400m,Bad,beyond 800m,-,
384,01.20.01.037.014,475205.9198,4616364.362,Not yet opened,"Urban-type settlement Tskneti, Chavchavadze St., N 12","""Laki Development"" LLC",Retail,Yes,Unmarked,,,156,6,Free,within 400m,Bad,beyond 800m,-,it is not open yet 
385,01.20.01.037.011,475169.6596,4616310.431,Meat market Madare,"Urban-type settlement Tskneti, 9 aprilis St., N 21",Mamuka Amiranashvili,Retail,Yes,Unmarked,,,42,2,Free,within 400m,Average,beyond 800m,-,
386,01.20.01.069.012,475068.1432,4616141.681,Carrefour,"Urban-type settlement Tskneti, Iakob gogebashvili St, N 3","""Laki Investment"" LLC",Retail,Yes,Unmarked,,,85,3,Free,within 400m,Average,beyond 800m,-,
387,01.20.01.068.025,475021.5796,4616165.478,Nikora XL,"Tskneti, Rustaveli st., (area 68/011)",MP Development Ltd,Retail,Yes,Marked,,,,24,Free,within 400m,Average,beyond 800m,-,
388,01.20.01.068.001,474952.4351,4616096.805,Libre,"Urban-type settlement Tskneti, Shota Rustaveli St., N45","Gogi Galuashvili
Guram Tsovreli
Teimuraz Tatulashvili
Tinatin Dalakishvili
Ivane Zaridze
Manana Londaridze
Mariam Tatulashvili
Nino Shubladze
Nugzar Tatulashvili
Omar Meskhi
Ramaz Zaridze
Joint Stock Company ""Silknet""
Tskneti LLC",Retail,Yes,Unmarked,,,208,8,Free,within 400m,Good,beyond 800m,-,in front of Libre
389,01.20.01.064.008,474745.373,4616033.357,Police,"Urban-type settlement Tskneti, Rustaveli St., N 57",Tbilisi Municipality,Government/Police,Yes,Unmarked,416,16,,,Free,within 400m,Good,beyond 800m,-,
390,72.13.10.695,485710,4626640,"Technical Inspection Center ""Daji""","Leo Kereselidze St., N 1",Daji Ltd.,Service,Yes,Marked,,,,8,Free,beyond 400m,-,beyond 800m,-,
391,72.13.02.427,,,Gldani Castle,"Omar Khizanishvili St., N 141",State,Government/Police,Yes,Marked,,40,2340,90,Free,beyond 400m,-,beyond 800m,-,
392,01.81.21.135.005,486249.4513,4620023.296,Carrefour,Fruit-tree nurseries,"Leila Revazishvili
Nona Mechvarishvili",Retail,Yes,Unmarked,,,118,4,Free,within 400m,Good,beyond 800m,-,
393,01.12.21.001.124,487990.3733,4620657.332,Tbilisi Sea Club,Nearby sail club (area 01/113),"A(a)ip Davit Zodelava Sea Club
Elena Zodelava",Entertainment & Recreation,Yes,Unmarked,,,2526,97,Paid,beyond 400m,-,beyond 800m,-,35 GEL on weekdays. 40 GEL on weekends
394,81.21.02.206,488400,4620100,Ilia Kokaia Football Center,Fruit-tree nurseries,"LLC ""Tbilisi Sea Resort""",Entertainment & Recreation,Yes,Marked,,25,,,Free,beyond 400m,-,beyond 800m,-,Entry to private property is prohibited
395,01.12.21.001.633  01.12.21.001.634  01.12.21.001.635  01.12.21.001.524,486100,4621150,Gino Paradise Aquapark,"Beshenova St., N 9 / Liptovi St., N 8","""Gino Park"" LLC ""Eco Invest"" LLC",Entertainment & Recreation,Yes,Marked,,,,134,Free,within 400m,Good,beyond 800m,-,
396,81.21.06.584,486310,4620210,Ori Nabiji,"Mariam Dadiani-Anchabadze St., N 2",Kakhaber Tutiashvili,Retail,Yes,Unmarked,,,220,8,Free,within 400m,Good,beyond 800m,-,
397,01.12.21.001.179,485970.808,4621437.829,Gino Seaside Tbilisi,"beshenova St., N 20",Angie and Company Ltd,Hotel & Casino,Yes,Marked,,12,,,Free,beyond 400m,-,beyond 800m,-,Entry is available only for employees and costumers
398,01.12.04.004.071,483799.8202,4623601.732,Salvage service,"Unknown Heroes Street, N 182",State,Government/Police,Yes,Marked,,27,,31,Free,within 400m,Bad,beyond 800m,-,
399,01.12.21.001.519,484547.0674,4624117.322,Tbilisi Sea,"The territory near the Tbilisi Sea., (area) 01/168.",Tbilisi Municipality,Entertainment & Recreation,Yes,Unmarked,,,,,Free,beyond 400m,-,beyond 800m,-,Specific parking is not available for everyone to park where they will be happy 
400,01.72.14.009.319,481697.3082,4626671.13,Davit Petriashvili Stadium,"Bob Uolshi St., N 22",State,Entertainment & Recreation,Yes,Marked,,,,160,Free,beyond 400m,-,beyond 800m,-,
401,01.72.14.013.887,481540.0314,4626300.032,Domino,Extension of Beliashvili Street to the north of the Dighomi-Gldani connecting highway.,"""CBD Development"" LLC",Retail,Yes,Marked,,,,370,Free,within 400m,Good,beyond 800m,-,
402,01.13.01.004.091,481528.817,4626159.907,Wendy's,"George Balanchini St, N 9","LLC ""Grand""",Entertainment & Recreation,Yes,Marked,,,,15,Free,within 400m,Bad,beyond 800m,-,
403,01.13.01.004.078  01.13.01.004.066,481440,4626160,McDonald's,"George Balanchini St, N 11","""T and K Restaurants"" LLC",Entertainment & Recreation,Yes,Marked,,,,43,Free,within 400m,Good,beyond 800m,-,
404,01.72.14.013.528,480993.1128,4626254.922,The laboratory is my home,"Georgian-American Friendship Avenu, N 47","LLC ""International Corporation ISI AR"" LLC ""Super""",Retail,Yes,Unmarked,,,860,33,Free,within 400m,Bad,beyond 800m,-,
405,01.72.14.013.527,480949.7298,4626242.917,The laboratory is my home,"Davit Aghmashenebli Alley, N 125a","LLC ""International Corporation ISI AR""",Retail,Yes,Unmarked,,,839,32,Free,within 400m,Bad,beyond 800m,-,
406,01.72.14.013.378,480944.4646,4626313.99,The laboratory is my home,Digomi Educational Experimental Farm Territory,"""Valentine"" LLC",Retail,Yes,Unmarked,,,890,35,Free,within 400m,Bad,beyond 800m,-,
407,01.72.14.013.441,480963.4462,4626368.385,Techno Boom,"George Papashvili St., N 1 / N 2","Tengiz Kakhniashvili, Koba Kakhniashvili",Retail,Yes,Marked,,,,42,Free,within 400m,Bad,beyond 800m,-,
408,01.72.14.013.896,481005.1238,4627072.767,Land Rover Center,"Davit Aghmashenebli Alley, N 151","""G-T Motors"" Ltd.",Service industry,Yes,Unmarked,6838,306,,,Free,within 400m,Bad,beyond 800m,-,
409,01.72.14.013.621,480966.6434,4626907.315,Smart,"Davit Aghmashenebli Alley,  N 145",MP Development Ltd,Retail,Yes,Marked,,,,10,Free,within 400m,Bad,beyond 800m,-,
410,01.72.14.013.609,480982.6417,4626969.084,Wendy's,"Davit Aghmashenebli Alley, N 147","""V-Jeo Restaurants"" LLC",Entertainment & Recreation,Yes,Marked,,,,19,Free,within 400m,Bad,beyond 800m,-,
411,01.72.14.013.979,481094.1946,4626900.837,Grigol Robakidze University,"Irina Enukidze St., N 3, N 5b; D. Aghmashenebli alley 12-th km.","""Grigol Robakidze University"" LLC",Education,Yes,Marked,440,41,,,Free,within 400m,Bad,beyond 800m,-,
412,01.72.14.013.681,481159.4036,4626907.737,European University Residential Campus,"Irina Enukidze St., N 5","""European University Campus"" LLC",Education,Yes,Unmarked,650,25,,,Free,within 400m,Bad,beyond 800m,-,
413,01.72.14.013.102,481302.6456,4626875.255,East European University,"Irina Enukidze St., N6","""University of Eastern Europe"" LLC",Education,Yes,Unmarked,650,25,,,Free,beyond 400m,-,beyond 800m,-,
414,01.72.14.013.407,481254.2408,4627305.772,Black Sea University,"Grigol Feradze St., N 3a","LLC ""Control""",Education,No,Unknown,N/A,N/A,N/A,N/A,Free,within 400m,Bad,beyond 800m,-,I couldn't enter the area and the number doesn't appear on the map either.
415,01.72.14.011.295,481084.899,4628377.621,Volkswagen Center,"Davit Aghmashenebli Alley, N 197",New Invest Company Ltd,Service industry,Yes,Marked,,,,50,Free,within 400m,Average,beyond 800m,-,
416,01.72.14.011.491,481113.3019,4628473.355,Akhali Nateba,"Davit Aghmashenebli Alley, N 199","""Akhali Nateba"" LLC",Retail,Yes,Marked,,,806,43,Free,within 400m,Bad,beyond 800m,-,
417,01.72.14.007.435,481112.5261,4629416.531,Tbilisi Mall,"Davit Aghmashenebli Alley, N213","""Unit Owners""",Retail,Yes,Marked,,,,1184,Free,within 400m,Good,beyond 800m,-,
418,01.72.14.006.487,480968.2592,4629718.072,National Vehicle Registration Agency,"Davit Aghmashenebli Alley, N 272",State,Service,Yes,Unmarked,,,858,33,Free,within 400m,Bad,beyond 800m,-,
419,01.72.14.006.388,480950.0541,4628824.173,Škoda Georgia,"Davit Aghmashenebli Alley, N 244","""GT Benefits"" LLC",Service industry,Yes,Unmarked,2080,80,,,Free,within 400m,Bad,beyond 800m,-,"The parking lot of the Škoda center is transferred to the territory of the municipality (01.72.14.098.115, 01.72.14.006.616)"
420,01.72.14.006.767,480743.3334,4628215.405,Agricultural University,"Davit Aghmashenebli Alley, N 240","""Agromet"" LLC",Education,Yes,Marked,,305,,,Free,within 400m,Average,beyond 800m,-,
421,01.72.14.014.470  01.72.14.014.469 01.72.14.014.621,480850,4627800,Vivamedi,"Davit Aghmashenebli Alley, N 234",Vivamedi Ltd,Hospital & Medical,Yes,Marked,,,,220,Paid,within 400m,Bad,beyond 800m,-,2 GEL. There are also 60 parking spaces in unregistered territory.
422,01.10.06.004.003 01.72.14.014.379  01.72.14.014.662  01.72.14.014.872 01.72.14.014.408  01.72.14.014.200,480820,4626880,Hyundai Auto Georgia,"Davit Aghmashenebli Alley, N 204","Joint Stock Company ""Hyundai Auto Georgia""",Service industry,Yes,Marked,,150,,,Free,within 400m,Bad,beyond 800m,-,For sale and employee cars
423,01.14.10.001.073,478233.0006,4617219.076,Saint George's School,"I. chavchavadze avenue, N 82","LLC ""Asset Management and Development Company""
LLC ""Educational Activity Center""",Education,Yes,Marked,,,,40,Free,within 400m,Bad,beyond 800m,-,
424,01.14.13.004.002,478201.0852,4617083.339,Levan Samkharauli'ს National Forensics Bureau,"I. chavchavadze avenue, N 84",National Bureau of Forensic Expertise named after Levan Samkharauli,Government/Police,Yes,Marked,,50,,,Free,within 400m,Good,beyond 800m,-,Only for employees 
425,01.14.03.042.204,478770.5757,4618901.133,Vake district administration,"Tamarashvili st., N 10a",Tbilisi Municipality,Government/Police,Yes,Unmarked,1070,41,,,Free,within 400m,Good,within 800m,Good,Only for employees 
426,01.14.14.010.030,481573.7048,4617668.702,TSU First and Second Buildings," Ilia Chavchavadze avenue N 1-3 , (area 10/030)",SSI Ivane Javakhishvili Tbilisi State University,Education,Yes,Marked,,,,80,Free,within 400m,Good,beyond 800m,-,
427,01.19.34.002.033,489351.2282,4614288.906,Samgori district administration,"Moskovi avenue, N 14",Tbilisi Municipality,Government/Police,Yes,Unmarked,1176,45,,,Free,within 400m,Good,beyond 800m,-,Only for employees 
428,01.19.34.002.147,489294.4841,4614315.028,Police,"Javakheti St, N 1",State,Government/Police,Yes,Marked,,,,45,Free,within 400m,Good,beyond 800m,-,
429,01.19.34.002.051,489212.8283,4614388.867,Gulf,"Javakheti St, N 1g","LLC ""San Petroleum Georgia""",Mixed-use,Yes,Marked,,,,8,Free,within 400m,Bad,beyond 800m,-,
430,01.17.01.065.065,484190.5926,4615721.074,Underground parking of the cobblestone park,"The Territory of Rike, (area 65/062)",Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,350,Paid,within 400m,Average,within 800m,Average,"One hour is 2 GEL, each next hour is 1 GEL"
431,01.17.01.065.061,484193.4538,4615878.69,Rike Park,"The Territory of Rike, (area 65/061)","""GLOBAL VICTORY TRUST"" LLC",Entertainment & Recreation,Yes,Marked,,,,70,Paid,beyond 400m,-,beyond 800m,-,
432,01.13.05.010.071,481891.6523,4619530.772,Nearby Eliava market,"Cosmonauts bank, N 17",Miranda Paichadze,Retail,Yes,Unmarked,,,1898,73,Paid,beyond 400m,-,within 800m,Bad,Entry is 4 GEL
433,01.13.05.010.067  01.13.05.010.068,481900,4619600,Nearby Eliava market,"Rafiel Agladze st., N 16a","""Coastal Investment Group"" LLC",Retail,Yes,Unmarked,,,9920,381,Paid,beyond 400m,-,within 800m,Bad,"Entry for a car is 5 GEL, 10 GEL for a truck"
434,01.13.05.010.044,481656.8119,4619753.84,Nearby Eliava market,"Cosmonauts bank, N 25","""Coastal Investment Group"" LLC",Retail,Yes,Unmarked,,,1456,56,Paid,beyond 400m,-,beyond 800m,-,"Parking 5 GEL. All day 10 GEL. also used for same parkingUnregistered territory, which has no cadastral registration"
435,01.13.05.010.056  01.13.05.010.050  ,481590,4619810,Nearby Eliava market,"Cosmonauts bank, N25b","""Invest Group 2023"" LLC",Retail,Yes,Unmarked,,,370,14,Paid,beyond 400m,-,beyond 800m,-,One hour is 3 GEL
436,01.13.05.010.051,481558.4356,4619789.676,Nearby Eliava market,"Cosmonauts bank, N25g",Avtandil Bubuteishvili,Retail,Yes,Unmarked,,,,,Paid,beyond 400m,-,beyond 800m,-,
437,01.13.05.010.049,481546.5097,4619800.419,Nearby Eliava market,"Cosmonauts bank, N 25 e","LLC ""Gujuji""",Retail,Yes,Unmarked,,,104,4,Paid,beyond 400m,-,beyond 800m,-,"Entry is 4 GEL, each next hour is 3 GEL"
438,01.13.05.010.073,481563.2617,4619843.313,Nearby Eliava market,"Cosmonauts bank, N 27","""Jiti Trade"" Ltd.",Retail,Yes,Unmarked,,,400,15,Paid,beyond 400m,-,beyond 800m,-,"One hour is 2 GEL, for a truck it's 5 GEL"
439,01.13.05.010.072,481528.5775,4619877.55,Nearby Eliava market,"Between the left bank of river Mtkvari, Khosharauli st. Eliava st. and Vakhushti bridge (area 10/23)","LLC ""Set-9""",Retail,Yes,Unmarked,,,1482,57,Paid,beyond 400m,-,beyond 800m,-,"Parkig for one hour is 5 GEL, for truck is 8 GEL, each next hour 1 GEL"
440,01.13.05.010.022,481597.5108,4619931.738,Nearby Eliava market,"Between the left bank of river Mtkvari, Khosharauli st. Eliava st. and Vakhushti bridge (area. 10/22)",Ltd. An-G,Retail,Yes,Unmarked,,,1650,63,Paid,beyond 400m,-,beyond 800m,-,"One hour is 3 GEL, each next hour is 3 GEL. Parkig for microbus for one hour is 3 GEL, each next hour is 5 GEL"
441,01.13.05.010.061,481659.0722,4620017.647,Nearby Eliava market,"Between the left bank of river Mtkvari, Khosharauli st. Eliava st. and Vakhushti bridge (area N10/61)",Manana Pantsulaia,Retail,Yes,Unmarked,,,260,10,Paid,beyond 400m,-,beyond 800m,-,"One hour is 3 GEL, each next hour is 3 GEL. Parkig for microbus for one hour is 3 GEL, each next hour is 5 GEL"
442,01.13.05.010.058  01.13.05.010.060,481650,4620000,Nearby Eliava market,"Between the left bank of river Mtkvari, Khosharauli st. Eliava st. and Vakhushti bridge (area 10/58)","""Invest Group 2023"" LLC",Retail,Yes,Unmarked,,,630,24,Paid,beyond 400m,-,beyond 800m,-,"One hour is 3 GEL, each next hour is 3 GEL. Parkig for microbus for one hour is 3 GEL, each next hour is 5 GEL"
443,01.13.05.010.059,481666.8567,4619983.68,Nearby Eliava market,"Between the left bank of river Mtkvari, Khosharauli st. Eliava st. and Vakhushti bridge (area 10/59)","LLC ""Gujuji""",Retail,Yes,Unmarked,,,435,16,Paid,beyond 400m,-,beyond 800m,-,"One hour is 3 GEL, each next hour is 3 GEL. Parkig for microbus, for one hour is 3 GEL, each next hour is 5 GEL"
444,01.13.05.010.043,481760.7863,4619880.876,Nearby Eliava market,"Agladze st., N 11 a","""Coastal Investment Group"" LLC",Mixed-use,Yes,Marked,,,1950,200,Paid,beyond 400m,-,beyond 800m,-,"One hour is 5 GEL, for a truck it's 10 GEL"
