#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
251,01.12.08.037.068,482264.3986,4622399.904,JIBE Cash & Carry,"Tornike Eristavi Dead And, N 9","""Bom Terrano"" LLC",Other,Yes,Marked,,60,,,Free,within 400m,Good,beyond 800m,-,entry  is prohibited.
252,01.12.07.016.047,482448.1749,4623071.193,Police,"Davit Guramishvili Avenue, N 19b",State,Government/Police,Yes,Unmarked,1415,54,,,Free,within 400m,Good,within 800m,Bad,
253,01.12.07.010.044,482636.858,4623776.408,Nikora,Davit Guramishvili Avenue N 23a,"Fellowship ""Akhali Deepghele""",Retail,Yes,Unmarked,,,676,26,Free,within 400m,Good,within 800m,Good,
254,01.12.07.009.027,482772.8843,4624179.738,Nadzaladevi district administation office,"Davit Guramishvili Avenue, N 25r",Tbilisi Municipality,Government/Police,Yes,Marked,,5,,,Free,within 400m,Good,within 800m,Good,
255,01.12.08.002.002,482233.6916,4624063.662,Joint-stock company Lelo,"Ksani St., N 36",Joint-stock company Lelo,Retail,Yes,Marked,,,,18,Free,beyond 400m,-,within 800m,Good,
256,01.12.01.003.173,482919.3516,4624962.288,Hotel West Tbilisi,"Davit Guramishvili Avenue, N 94","""Belco"" Ltd.",Hotel & Casino,Yes,Marked,,,,21,Free,within 400m,Good,within 800m,Good,
257,01.12.01.004.137,482783.2898,4624513.14,University of Europe,"Davit Guramishvili Avenue, N 76","""European University"" LLC",Education,Yes,Unmarked,728,28,,,Free,within 400m,Good,within 800m,Good,
258,01.12.01.005.102,482627.5843,4624057.568,Fresco,"Davit Guramishvili Avenue, N 62a","LLC ""Fresco Shopping Center""",Retail,Yes,Marked,,,,40,Paid,within 400m,Good,within 800m,Good,"15 minutes free, 1.5 hour free for purchase of 5 GEL, then 5 GEL"
259,01.12.01.005.637,482485.0797,4624112.272,Tbilabreshumi,"Davit Guramishvili Avenue, N 64","LLC ""Tbilabreshumi""",Other,Yes,Marked,,,,33,Paid,within 400m,Good,within 800m,Good,"Entrance 4 GEL , all day 10 GEL"
260,01.12.01.005.635,482575.4826,4623999.423,Tbilabreshumi,"Davit Guramishvili Avenue, N 64","LLC ""Tbilabreshumi""",Other,Yes,Marked,1890,83,,,Free,within 400m,Good,within 800m,Good, for employees only. 
261,01.12.01.003.057,482928.8774,4624876.221,The surrounding area of ​​Alion Hotel,"Davit Guramishvili Avenue, N 90",Tbilisi Municipality,Other,Yes,Unmarked,260,10,,,Free,within 400m,Good,within 800m,Good,Entrance through the barrier. 
262,01.12.07.005.022,483091.187,4624197.241,The first university clinic,"Gudamakri St, N 4b","""Tbilisi State Medical University""",Hospital & Medical,Yes,Marked,,175,,112,Paid,within 400m,Good,within 800m,Good,for 112 cars Entrance 2 GEL. each next hour 1 GEL. 
263,01.12.03.005.008,483376.1757,4625261.287,Eastern European University,"Tariel Futkaradze St., N 1","LLC ""Sports Club Duchi""",Education,Yes,Marked,,,,7,Free,within 400m,Average,within 800m,Average,
264,01.12.04.001.047,483916.6508,4624904.635,Open Heart - University Hospital,"414th Division Street, Anapi, N 47",Tbilisi Municipality,Hospital & Medical,Yes,Marked,,60,1040,64,Paid,within 400m,Good,beyond 800m,-,Tbilisi parking for 50 GEL
265,01.12.06.001.047 01.12.06.001.091 ,483520,4624290,Caucasus International University,"Chargali St, N 73","Guri Khazaradze
Vakhtang Tsivtsivadze
Nia Gogiberidze
Joint Stock Company ""Akat""
LLC ""International University of the Caucasus""
Khatuna Kamushadze",Education,Yes,Unmarked,1500,57,,,Free,within 400m,Good,within 800m,Average,
266,01.12.04.003.076,483621.5942,4624541.211,Hotel Kolkhi,"Chargali St., N 75g","LLC ""Kolkhi""",Hotel & Casino,Yes,Unmarked,,,150,5,Free,within 400m,Good,within 800m,Average,"It also has an empty space in front of the hotel and its use for parking, but it is not registered to anyone."
